Algorithm;ModelName;ModelIteration;InteractionSize;T;MissedLiteralsCount;IncorrectlyFoundLiteralsCount
iident;aaed2000;6;3;3;-1;-1
iident;Automotive01;1;3;3;-1;-1
iident;Automotive01;2;3;3;-1;-1
iident;Automotive01;3;3;3;-1;-1
iident;Automotive01;4;3;3;-1;-1
iident;Automotive01;5;3;3;-1;-1
iident;Automotive01;6;3;3;-1;-1
iident;Automotive01;7;3;3;-1;-1
iident;Automotive01;8;3;3;-1;-1
iident;Automotive01;9;3;3;-1;-1
iident;Automotive01;10;3;3;-1;-1
iident;main_light;1;3;3;-1;-1
iident;main_light;2;3;3;-1;-1
iident;main_light;3;3;3;-1;-1
Inciident;SafeBali;56;3;3;0;6
Inciident;dell;32;3;3;0;8
iident;financial_services;21;3;3;-1;-1
